dataset_id,cell_id,protocol_id,segment_id,time_s,current_raw_A,current_discharge_A,voltage_V,reference_temperature_K,surface_temperature_K,core_temperature_K,data_kind,source_id
AE_NMC,AE_NMC_reference_unknown_serial,C20_discharge,C/20 discharge,57000,-0.625,0.625,3.56472021,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,C20_discharge,C/20 discharge,58000,-0.625,0.625,3.55685827,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,C20_discharge,C/20 discharge,59000,-0.625,0.625,3.54822931,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,C20_discharge,C/20 discharge,60000,-0.625,0.625,3.53864157,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,C20_discharge,C/20 discharge,61000,-0.625,0.625,3.52828682,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,C20_discharge,C/20 discharge,62000,-0.625,0.625,3.5173568,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,C20_discharge,C/20 discharge,63000,-0.625,0.625,3.5071938,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,C20_discharge,C/20 discharge,64000,-0.625,0.625,3.49894834,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,C20_discharge,C/20 discharge,65000,-0.625,0.625,3.49204517,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,C20_discharge,C/20 discharge,66000,-0.625,0.625,3.48590902,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,C20_discharge,C/20 discharge,67000,-0.625,0.625,3.47938936,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,C20_discharge,C/20 discharge,68000,-0.625,0.625,3.47152742,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,C20_discharge,C/20 discharge,69000,-0.625,0.625,3.4605974,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,C20_discharge,C/20 discharge,70000,-0.625,0.625,3.44218895,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,C20_discharge,C/20 discharge,71000,-0.625,0.625,3.39981122,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,C20_discharge,C/20 discharge,72000,-0.625,0.625,3.33749094,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,C20_discharge,C/20 discharge,73000,-0.625,0.625,3.25407757,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,C20_discharge,C/20 discharge,74000,-0.625,0.625,3.13308034,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,C20_discharge,C/20 discharge,75000,-0.625,0.625,2.89472934,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,1C_discharge,1C discharge,0,-12.5,12.5,4.1936757,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,1C_discharge,1C discharge,100,-12.5,12.5,4.0487091,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,1C_discharge,1C discharge,200,-12.5,12.5,4.0107418,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,1C_discharge,1C discharge,300,-12.5,12.5,3.9762259,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,1C_discharge,1C discharge,400,-12.5,12.5,3.9426688,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,1C_discharge,1C discharge,500,-12.5,12.5,3.9094952,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,1C_discharge,1C discharge,600,-12.5,12.5,3.8763218,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,1C_discharge,1C discharge,700,-12.5,12.5,3.8433398,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,1C_discharge,1C discharge,800,-12.5,12.5,3.8113168,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,1C_discharge,1C discharge,900,-12.5,12.5,3.7802525,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,1C_discharge,1C discharge,1000,-12.5,12.5,3.7505305,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,1C_discharge,1C discharge,1100,-12.5,12.5,3.7221509,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,1C_discharge,1C discharge,1200,-12.5,12.5,3.695497,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,1C_discharge,1C discharge,1300,-12.5,12.5,3.6703771,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,1C_discharge,1C discharge,1400,-12.5,12.5,3.6467912,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,1C_discharge,1C discharge,1500,-12.5,12.5,3.6247394,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,1C_discharge,1C discharge,1600,-12.5,12.5,3.6042217,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,1C_discharge,1C discharge,1700,-12.5,12.5,3.5858132,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,1C_discharge,1C discharge,1800,-12.5,12.5,3.5685555,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,1C_discharge,1C discharge,1900,-12.5,12.5,3.5532149,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,1C_discharge,1C discharge,2000,-12.5,12.5,3.5382581,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,1C_discharge,1C discharge,2100,-12.5,12.5,3.5238765,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,1C_discharge,1C discharge,2200,-12.5,12.5,3.5102619,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,1C_discharge,1C discharge,2300,-12.5,12.5,3.4974143,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,1C_discharge,1C discharge,2400,-12.5,12.5,3.4849502,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,1C_discharge,1C discharge,2500,-12.5,12.5,3.4728697,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,1C_discharge,1C discharge,2600,-12.5,12.5,3.4609809,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,1C_discharge,1C discharge,2700,-12.5,12.5,3.4485169,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,1C_discharge,1C discharge,2800,-12.5,12.5,3.4352858,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,1C_discharge,1C discharge,2900,-12.5,12.5,3.4216712,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,1C_discharge,1C discharge,3000,-12.5,12.5,3.4070979,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,1C_discharge,1C discharge,3100,-12.5,12.5,3.3907987,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,1C_discharge,1C discharge,3200,-12.5,12.5,3.3720067,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,1C_discharge,1C discharge,3300,-12.5,12.5,3.3474621,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,1C_discharge,1C discharge,3400,-12.5,12.5,3.3121793,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,1C_discharge,1C discharge,3500,-12.5,12.5,3.2569541,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,1C_discharge,1C discharge,3600,-12.5,12.5,3.1589672,298.15,,,source_embedded_reference_curve,S01
AE_NMC,AE_NMC_reference_unknown_serial,1C_discharge,1C discharge,3700,-12.5,12.5,2.9047014,298.15,,,source_embedded_reference_curve,S01
